full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank,prs_open,prs_closed,issues_open,issues_closed,contributors, commits
jwasham/google-interview-university,google-interview-university,A complete daily plan for studying to become a Google software engineer.,30623,6110,,jwasham,John Washam,User,Greater Seattle area,47.609016,-122.334363,Seattle,United States,1,9,65,13,18,34,565
yarnpkg/yarn,yarn,"📦🐈 Fast, reliable, and secure dependency management.",21060,786,JavaScript,yarnpkg,Yarn,Organization,,,,,,2,43,702,512,1092,177,1181
joshbuchea/HEAD,HEAD,A list of everything that could go in the <head> of your document,17857,1128,,joshbuchea,Josh Buchea,User,"Bend, OR",44.0581728,-121.3153096,Bend,United States,3,3,91,8,52,43,206
facebookincubator/create-react-app,create-react-app,Create React apps with no build configuration.,17555,1821,JavaScript,facebookincubator,Facebook Incubator,Organization,"Menlo Park, California",37.4529598,-122.1817252,Menlo Park,United States,4,46,507,139,638,174,630
FallibleInc/security-guide-for-developers,security-guide-for-developers,Security Guide for Developers (实用性开发人员安全须知),15516,886,,FallibleInc,Fallible,Organization,,,,,,5,8,26,7,3,21,142
open-guides/og-aws,og-aws,📙 Amazon Web Services — a practical guide,15431,948,Shell,open-guides,,Organization,,,,,,6,25,217,85,37,83,553
googlesamples/android-architecture,android-architecture,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,13881,3605,,googlesamples,Google Samples,Organization,,,,,,7,3,103,59,85,11,79
zeit/hyper,hyper,A terminal built on web technologies,13618,907,JavaScript,zeit,ZEIT,Organization,,,,,,8,23,403,403,498,101,632
ParsePlatform/parse-server,parse-server,Parse-compatible API server module for Node/Express,12167,3319,JavaScript,ParsePlatform,Parse,Organization,"Menlo Park, CA",37.4529598,-122.1817252,Menlo Park,United States,9,22,1103,133,2037,131,1606
braydie/HowToBeAProgrammer,HowToBeAProgrammer,A guide on how to be a Programmer - originally published by Robert L Read,11822,975,,braydie,Braydie Grove,User,Isle of Man,54.236107,-4.548056,,Isle of Man,10,2,88,4,15,48,346
ZuzooVn/machine-learning-for-software-engineers,machine-learning-for-software-engineers,A complete daily plan for studying to become a machine learning engineer.,11680,1531,,ZuzooVn,Nam Vu,User,Vietnam,14.058324,108.277199,,Vietnam,11,0,30,4,0,13,192
jgthms/bulma,bulma,Modern CSS framework based on Flexbox,11152,608,CSS,jgthms,Jeremy Thomas,User,London,51.5073509,-0.1277583,London,United Kingdom,12,42,64,122,207,17,216
toddmotto/public-apis,public-apis,A collective list of public JSON APIs for use in web development.,11010,757,,toddmotto,Todd Motto,User,"England, UK",52.3555177,-1.1743197,,United Kingdom,13,1,235,3,21,171,535
alibaba/weex,weex,A framework for building Mobile cross-platform UI,10539,1475,Java,alibaba,Alibaba,Organization,"Hangzhou, China",30.274085,120.15507,Hangzhou,China,14,19,990,85,1010,76,4595
tensorflow/models,models,Models built with TensorFlow,10336,2707,Python,tensorflow,,Organization,,,,,,15,64,198,143,431,92,309
juliangarnier/anime,anime,Javascript Animation Engine,10245,539,JavaScript,juliangarnier,Julian Garnier,User,Paris,48.856614,2.3522219,Paris,France,16,1,27,6,64,10,98
raywenderlich/swift-algorithm-club,swift-algorithm-club,"Algorithms and data structures in Swift, with explanations!",10068,1285,Swift,raywenderlich,,Organization,,,,,,17,14,243,8,76,91,1090
verekia/js-stack-from-scratch,js-stack-from-scratch,Step-by-step tutorial to build a modern JavaScript stack from scratch,9493,685,JavaScript,verekia,Jonathan Verrecchia,User,"Paris, France",48.856614,2.3522219,Paris,France,18,12,48,29,31,30,272
DrkSephy/es6-cheatsheet,es6-cheatsheet,"ES2015 [ES6] cheatsheet containing tips, tricks, best practices and code snippets",8910,530,JavaScript,DrkSephy,David Leonard,User,New York City,40.7127837,-74.0059413,New York,United States,19,0,61,3,21,41,149
parkjs814/AlgorithmVisualizer,AlgorithmVisualizer,Algorithm Visualizer,8899,1162,JavaScript,parkjs814,Jason Park,User,"Hays, KS",38.8791783,-99.3267702,Hays,United States,20,0,181,7,30,34,710
AHAAAAAAA/PokemonGo-Map,PokemonGo-Map,🌏 Live visualization of all the pokemon in your area... and more! (shutdown),8792,3827,,AHAAAAAAA,Ahmed Almutawa,User,"Boulder, CO",40.0149856,-105.2705456,Boulder,United States,21,2,1035,0,0,1,4
Developer-Y/cs-video-courses,cs-video-courses,List of Computer Science courses with video lectures.,8746,774,,Developer-Y,,User,,,,,,22,0,27,1,10,20,103
songrotek/Deep-Learning-Papers-Reading-Roadmap,Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,8707,1123,Python,songrotek,Flood Sung,User,China,35.86166,104.195397,,China,23,10,15,10,2,9,70
facebook/draft-js,draft-js,A React framework for building text editors.,8547,698,JavaScript,facebook,Facebook,Organization,"Menlo Park, California",37.4529598,-122.1817252,Menlo Park,United States,24,38,271,225,372,87,317
you-dont-need/You-Dont-Need-Javascript,You-Dont-Need-Javascript,"CSS is powerful, you can do a lot of things without JS.",8369,461,CSS,you-dont-need,You Don't Need,Organization,,,,,,25,2,37,22,5,26,108
fbsamples/f8app,f8app,"Source code of the official F8 app of 2016, powered by React Native and other Facebook open source projects.",8312,1499,JavaScript,fbsamples,Facebook Samples,Organization,"Menlo Park, CA",37.4529598,-122.1817252,Menlo Park,United States,26,8,6,55,76,5,19
jaywcjlove/awesome-mac,awesome-mac, This repo is a collection of awesome Mac applications and tools for developers and designers.,8246,864,JavaScript,jaywcjlove,小弟调调™,User,"Shanghai, China",31.230416,121.473701,Shanghai,China,27,0,101,23,43,57,501
allenwong/30DaysofSwift,30DaysofSwift,A self-taught project to learn Swift.,8206,1512,Swift,allenwong,Allen Wang,User,"Hangzhou, China.",30.274085,120.15507,Hangzhou,China,28,4,28,2,20,10,82
petehunt/react-howto,react-howto,Your guide to the (sometimes overwhelming!) React ecosystem.,8045,496,,petehunt,Pete Hunt,User,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,29,22,35,3,10,28,142
