full_name, stars, forks, description, language
verekia/js-stack-from-scratch, 9496, 685, "Step-by-step tutorial to build a modern JavaScript stack from scratch", JavaScript
zeit/next.js, 7704, 347, "A minimalistic framework for universal server-rendered React applications", JavaScript
ruanyf/jstraining, 6414, 1561, "全栈工程师培训材料", JavaScript
samyk/poisontap, 3597, 671, "Exploits locked/password protected computers over USB, drops persistent WebSocket-based backdoor, exposes internal router, and siphons cookies using Raspberry Pi Zero & Node.js.", JavaScript
sveltejs/svelte, 3566, 86, "The magical disappearing UI framework", JavaScript
FormidableLabs/nodejs-dashboard, 2649, 73, " Telemetry dashboard for node.js apps from the terminal!", JavaScript
googlesamples/md2googleslides, 2583, 87, "Generate Google Slides from markdown", JavaScript
gchq/CyberChef, 2234, 229, "The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis", JavaScript
th0r/webpack-bundle-analyzer, 2106, 43, "Webpack plugin and CLI utility that represents bundle content as convenient interactive zoomable treemap", JavaScript
devongovett/regexgen, 1917, 51, "Generate regular expressions that match a set of strings", JavaScript
nuxt/nuxt.js, 1916, 68, "A minimalistic framework for server-rendered Vue.js applications (inspired by Next.js).", JavaScript
turbo/js, 1836, 63, "turbo.js - perform massive parallel computations in your browser with GPGPU.", JavaScript
lukehaas/RegexHub, 1738, 82, "A collection of useful regex patterns", JavaScript
pubkey/rxdb, 1663, 52, "Reactive Offline-first Database with Sync, Schema, Mongo-Query, Encryption, LevelDown ", JavaScript
MicheleBertoli/react-fix-it, 1568, 15, "Automagically generate tests from errors", JavaScript
material-components/material-components-web, 1533, 71, "Modular and customizable Material Design UI components for the web", JavaScript
siddharthkp/cost-of-modules, 1411, 20, "Find out which of your dependencies are slowing you down 🐢", JavaScript
wellsjo/JSON-Splora, 1268, 41, "☘️ GUI for editing, visualizing, and manipulating JSON", JavaScript
dollarshaveclub/shave, 1231, 52, "Shave is a zero dependency javascript plugin that truncates text to fit within a html element based on a set max-height  ✁", JavaScript
ForestAdmin/lumber, 1199, 47, "The Admin Interface Framework", JavaScript
mathisonian/premonish, 1126, 24, "Predict which DOM element a user will interact with next.", JavaScript
cramforce/splittable, 926, 22, "Module bundler with support for code splitting, ES6 & CommonJS modules.", JavaScript
web-pal/DBGlass, 900, 29, "PostgreSQL client built with Electron.", JavaScript
hkirat/notification-logger, 886, 37, "Desktop notification for your console Logs", JavaScript
jakebian/quiver, 883, 63, "Interactive convnet features visualization for Keras", JavaScript
zeit/styled-jsx, 875, 22, "Full CSS support for JSX without compromises", JavaScript
QingWei-Li/docsify, 873, 45, "🃏 A magical documentation site generator.", JavaScript
facebooknuclide/atom-in-orbit, 851, 33, "Putting Atom in the browser", JavaScript
720kb/ndm, 780, 24, "npm desktop manager  https://720kb.github.io/ndm", JavaScript
guerrerocarlos/CacheP2P, 753, 28, "'More users = More capacity'", JavaScript
dmotz/thing-translator, 749, 76, "Point your camera at things to hear how to say them in a different language", JavaScript
andywer/leakage, 733, 16, "🐛 Memory leak testing for node.", JavaScript
weui/weui-wxss, 731, 143, "A UI library by WeChat official design team, includes the most useful widgets/modules.", JavaScript
jmurzy/react-native-foldview, 709, 53, "FoldView implemented in JavaScript ⛱", JavaScript
chvin/react-tetris, 690, 106, "Use React, Redux, Immutable to code Tetris.", JavaScript
chemzqm/wept, 677, 97, "微信小程序 web 端实时运行工具", JavaScript
samgozman/YoptaScript, 667, 63, "Скриптовый язык программирования для гопников и реальных пацанов", JavaScript
dreamapplehappy/effective-javascript, 618, 123, "To be, or not to be, that is a question! :joy: 万剑归宗的无名和独霸天下的雄霸", JavaScript
kingdido999/zooming, 578, 32, "Image zoom that makes sense.", JavaScript
ggomaeng/react-native-card-modal, 572, 41, "A pure javascript card modal for React Native framework.", JavaScript
threepointone/markdown-in-js, 569, 9, "inline markdown for react/jsx", JavaScript
appbaseio/gem, 546, 26, "💎  GUI for Data Modeling with Elasticsearch", JavaScript
kubek2k/lambdoku, 538, 14, "Heroku-like experience when using AWS Lambda", JavaScript
lipeiwei-szu/ReactNativeOne, 514, 151, "基于React-Native的高仿「ONE·一个」，兼容Android、iOS双平台", JavaScript
tannerlinsley/react-form, 504, 16, "A simple and powerful form builder for React - ", JavaScript
mmckegg/ferment, 504, 20, "Peer-to-peer audio publishing and streaming application. Like SoundCloud but decentralized. A mashup of ssb, webtorrent and electron.", JavaScript
kiqs/chartify, 494, 7, "React.js music chart", JavaScript
monterail/vuelidate, 489, 18, "Simple, lightweight model-based validation for Vue.js", JavaScript
sylvainpolletvillard/postcss-grid-kiss, 488, 20, "A PostCSS plugin to keep CSS grids stupidly simple", JavaScript
lzxb/vue2-demo, 487, 160, "从零构建vue2 + vue-router + vuex 开发环境到入门，实现基本的登录退出功能 ", JavaScript
JSBros/hedron, 480, 15, "A no-frills flexbox grid system for React, powered by styled-components.", JavaScript
diegohaz/arc, 473, 28, "A progressive React starter kit based on the Atomic Design methodology", JavaScript
fuse-box/fuse-box, 472, 16, "A blazing fast js bundler/loader with a comprehensive API", JavaScript
lelandrichardson/redux-pack, 468, 17, "Sensible promise handling and middleware for redux", JavaScript
goessner/mdmath, 452, 11, "LaTeX Math for Markdown inside of Visual Studio Code.", JavaScript
screeps/screeps, 449, 35, "A standalone server for programming game Screeps", JavaScript
ggomaeng/react-native-facebook-ui, 434, 40, "Pure javascript UI prototype of iOS Facebook for React Native framework.", JavaScript
nikgraf/webvr-experiments, 430, 14, "A collection of ReactVR experiments (potentially also A-Frame and WebVR expriments using ReasonML & Elm)", JavaScript
jxnblk/repng, 413, 6, "React component to PNG converter", JavaScript
feross/electron-workshop, 401, 30, "Workshop: Build cross-platform desktop apps with Electron", JavaScript
PabloSichert/concurrency-logger, 350, 6, "Log HTTP requests/responses separately, visualize their concurrency and report logs/errors in context of a request", JavaScript
nolanlawson/marky, 348, 4, "High-resolution JavaScript timer based on performance.mark() and measure()", JavaScript
jstimpfle/tetris-on-a-plane, 336, 47, "", JavaScript
huangyaoxin/hAdmin, 335, 128, "后台模版 html5后台模版 bootstrap后台模版 Free Bootstrap 3 Admin Template", JavaScript
mariusandra/pigeon-maps, 327, 8, "ReactJS Maps without external dependencies", JavaScript
i-break-codes/scrum-board, 322, 26, "JavaScript Scrum App to manage tasks with ease", JavaScript
icindy/wxParse, 313, 73, "wxParse-微信小程序富文本解析自定义组件，支持HTML及markdown解析", JavaScript
caroso1222/amazon-autocomplete, 310, 16, "🚀  Unlock the full power of the Amazon autocompletion engine right into your search input. JavaScript Plugin.", JavaScript
ben-eb/postcss-resemble-image, 294, 6, "Provide a gradient fallback for an image that loosely resembles the original.", JavaScript
hharnisc/tabbie, 292, 17, "The missing tab manager for Chrome", JavaScript
sindu12jun/table-dragger, 290, 28, "Easily drag and drop sorting table", JavaScript
bailicangdu/react-pxq, 290, 117, "基于 react + react-router + redux + webpack + ES6 + less  的完整项目", JavaScript
sqreen/CTOSecurityChecklist, 289, 34, "The SaaS CTO Security Checklist", JavaScript
weui/weui.js, 286, 75, "A lightweight javascript library for WeUI.", JavaScript
pcbje/ggraph, 283, 14, "Graph visualization of big messy data", JavaScript
vue-play/vue-play, 280, 10, "🍭 A minimalistic framework for demonstrating your Vue components", JavaScript
wangdicoder/react-native-Gank, 279, 38, "A cross platform App which shows the contents from gank.io", JavaScript
zeit/nextgram, 272, 26, "A sample Next.js app for showing off it's capabilities", JavaScript
tholman/ascii-morph, 271, 16, "Library to animate between two ascii images -", JavaScript
gajus/babel-plugin-react-css-modules, 271, 12, "Transforms styleName to className using compile time CSS module resolution.", JavaScript
wangdicoder/JueJinClient, 270, 62, "a react-native app simulating JueJin App running on both Android and iOS", JavaScript
egoist/docute, 270, 16, ":scroll: Effortlessly documentation done right.", JavaScript
FGRibreau/gron, 265, 6, "gron - Make JSON greppable!", JavaScript
runkitdev/demokit, 254, 9, "DemoKit is a Library and Electron app for building product demos and tutorials using web technologies", JavaScript
RebeccaHanjw/weapp-wechat-zhihu, 253, 84, "微信中的知乎--微信小程序 demo // Zhihu in Wechat", JavaScript
2muchcoffeecom/ng2-restangular, 251, 23, "Restangular for Angular 2 and higher versions", JavaScript
schmooblidon/meleelight, 250, 58, "Melee Light Platform Fighter", JavaScript
ondras/primitive.js, 245, 30, "JS port of primitive.lol", JavaScript
bs-detector/bs-detector, 236, 68, "A browser extension that alerts users to unreliable news sources.", JavaScript
4Catalyzer/css-literal-loader, 234, 4, "Parse css tagged template literals as CSS files", JavaScript
ageitgey/show-facebook-computer-vision-tags, 231, 17, "A very simple Chrome Extension that displays the automated image tags that Facebook has generated for your images", JavaScript
zzarcon/chaosocket, 231, 9, ":boom: Mock WebSockets and create chaos :boom:", JavaScript
googlecreativelab/aiexperiments-giorgio-cam, 230, 37, "Take a picture to make music with the computer. ", JavaScript
CERT-BDF/TheHive, 227, 27, "TheHive: a Scalable, Open Source and Free Incident Response Platform", JavaScript
jeffjose/tget, 224, 6, "tget is wget for torrents", JavaScript
oopsguy/WechatSmallApps, 220, 74, "Wechat Small Apps Demos，微信小程序个人案例合集", JavaScript
qieguo2016/Vueuv, 219, 25, "参照Vue实现的一个JavaScript MVVM 框架，手把手教你从零开始Make Your Own Vue!", JavaScript
wepyjs/wepy, 214, 30, "小程序组件化开发框架", JavaScript
JuneDomingo/movieapp, 212, 49, "Discover Movies and TV shows -  React Native ", JavaScript
jaridmargolin/inspect-process, 201, 8, "🔍 Dead simple debugging for node.js using chrome-devtools.", JavaScript
stml/welcomejs, 194, 16, "A friendly script.", JavaScript
thanhtungdp/react-native-login-animated, 193, 38, "simple app for animated from other scence", JavaScript
googlecreativelab/aiexperiments-drum-machine, 191, 35, "Thousands of everyday sounds, organized using machine learning.", JavaScript
airbnb/babel-plugin-dynamic-import-webpack, 190, 13, "Babel plugin to transpile import() to require.ensure, for Webpack", JavaScript
chrisallenlane/novahot, 190, 41, "A webshell framework for penetration testers.", JavaScript
mikeal/dropub, 188, 16, "P2P publishing for everyone.", JavaScript
pagarme/react-event-components, 187, 7, "A set of React components designed to handle global events (interval, keyboard, touch, mouse, etc)", JavaScript
Syncano/syncano-dashboard, 184, 24, "The Syncano Dashboard built with React.", JavaScript
spacelan/wechat-emoticon, 180, 31, "微信表情轰炸器", JavaScript
Microsoft/BikeSharing360_MobileApps, 180, 55, "Beautiful, cross-platform native mobile apps for BikeSharing360.", JavaScript
RedMail/RedMail, 180, 11, "A suitable for private use mail server , simple rapid deployment", JavaScript
XhstormR/BaiduNetdisk-WAP, 179, 12, "BaiduNetdisk (WAP)", JavaScript
bvaughn/react-presents, 177, 11, "React slideshow framework", JavaScript
imgntn/j360, 174, 7, "360 Video and Photo Capture in 4K for Three.js", JavaScript
TooBug/TooNote, 169, 28, "Markdown笔记软件", JavaScript
benfred/fmin, 164, 23, " Unconstrained function minimization in Javascript", JavaScript
