full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank
verekia/js-stack-from-scratch,js-stack-from-scratch,Step-by-step tutorial to build a modern JavaScript stack from scratch,9496,685,JavaScript,verekia,Jonathan Verrecchia,User,"Paris, France",48.856614,2.3522218999999995,Paris,France,2.0
zeit/next.js,next.js,A minimalistic framework for universal server-rendered React applications,7704,347,JavaScript,zeit,ZEIT,Organization,,,,,,5.0
ruanyf/jstraining,jstraining,全栈工程师培训材料,6414,1561,JavaScript,ruanyf,Ruan YiFeng,User,"Shanghai, China",31.230415999999998,121.473701,Shanghai,China,6.0
samyk/poisontap,poisontap,"Exploits locked/password protected computers over USB, drops persistent WebSocket-based backdoor, exposes internal router, and siphons cookies using Raspberry Pi Zero & Node.js.",3597,671,JavaScript,samyk,Samy Kamkar,User,"Los Angeles, California",34.0522342,-118.24368490000002,Los Angeles,United States,19.0
sveltejs/svelte,svelte,The magical disappearing UI framework,3566,86,JavaScript,sveltejs,Svelte,Organization,,,,,,20.0
FormidableLabs/nodejs-dashboard,nodejs-dashboard, Telemetry dashboard for node.js apps from the terminal!,2649,73,JavaScript,FormidableLabs,Formidable,Organization,"Seattle, WA",47.6062095,-122.33207079999998,Seattle,United States,26.0
googlesamples/md2googleslides,md2googleslides,Generate Google Slides from markdown,2583,87,JavaScript,googlesamples,Google Samples,Organization,,,,,,27.0
gchq/CyberChef,CyberChef,"The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis",2234,229,JavaScript,gchq,GCHQ,Organization,UK,55.378051,-3.435973,,United Kingdom,29.0
th0r/webpack-bundle-analyzer,webpack-bundle-analyzer,Webpack plugin and CLI utility that represents bundle content as convenient interactive zoomable treemap,2106,43,JavaScript,th0r,Yuriy Grunin,User,,,,,,30.0
devongovett/regexgen,regexgen,Generate regular expressions that match a set of strings,1917,51,JavaScript,devongovett,Devon Govett,User,San Francisco,37.7749295,-122.4194155,San Francisco,United States,38.0
nuxt/nuxt.js,nuxt.js,A minimalistic framework for server-rendered Vue.js applications (inspired by Next.js).,1916,68,JavaScript,nuxt,NUXT,Organization,,,,,,39.0
turbo/js,js,turbo.js - perform massive parallel computations in your browser with GPGPU.,1836,63,JavaScript,turbo,minxomat,User,Leipzig & London,51.4220814,12.2203805,Schkeuditz,Germany,43.0
lukehaas/RegexHub,RegexHub,A collection of useful regex patterns,1738,82,JavaScript,lukehaas,Luke Haas,User,London,51.5073509,-0.12775830000000002,London,United Kingdom,44.0
pubkey/rxdb,rxdb,"Reactive Offline-first Database with Sync, Schema, Mongo-Query, Encryption, LevelDown ",1663,52,JavaScript,pubkey,Daniel M,User,"Germany, Stuttgart",48.7758459,9.1829321,Stuttgart,Germany,50.0
MicheleBertoli/react-fix-it,react-fix-it,Automagically generate tests from errors,1568,15,JavaScript,MicheleBertoli,Michele Bertoli,User,"London, UK",51.5073509,-0.12775830000000002,London,United Kingdom,53.0
material-components/material-components-web,material-components-web,Modular and customizable Material Design UI components for the web,1533,71,JavaScript,material-components,Material Components,Organization,,,,,,54.0
siddharthkp/cost-of-modules,cost-of-modules,Find out which of your dependencies are slowing you down 🐢,1411,20,JavaScript,siddharthkp,Siddharth Kshetrapal,User,"Bangalore, India",12.9715987,77.5945627,Bengaluru,India,63.0
wellsjo/JSON-Splora,JSON-Splora,"☘️ GUI for editing, visualizing, and manipulating JSON",1268,41,JavaScript,wellsjo,Wells Johnston,User,New York City,40.7127837,-74.00594129999999,New York,United States,74.0
dollarshaveclub/shave,shave,Shave is a zero dependency javascript plugin that truncates text to fit within a html element based on a set max-height  ✁,1231,52,JavaScript,dollarshaveclub,Dollar Shave Club,Organization,"Venice, CA",33.9850469,-118.4694832,Los Angeles,United States,75.0
ForestAdmin/lumber,lumber,The Admin Interface Framework,1199,47,JavaScript,ForestAdmin,ForestAdmin,Organization,,,,,,77.0
mathisonian/premonish,premonish,Predict which DOM element a user will interact with next.,1126,24,JavaScript,mathisonian,Matthew Conlen,User,Seattle,47.6062095,-122.33207079999998,Seattle,United States,87.0
cramforce/splittable,splittable,"Module bundler with support for code splitting, ES6 & CommonJS modules.",926,22,JavaScript,cramforce,Malte Ubl,User,"Alameda, CA, USA",37.7652065,-122.2416355,Alameda,United States,101.0
web-pal/DBGlass,DBGlass,PostgreSQL client built with Electron.,900,29,JavaScript,web-pal,Web-Pal,Organization,Moscow,55.755826,37.6173,Moscow,Russia,104.0
hkirat/notification-logger,notification-logger,Desktop notification for your console Logs,886,37,JavaScript,hkirat,harkirat singh,User,"Roorkee , Uttrakhand , India",29.8542626,77.8880002,Roorkee,India,105.0
jakebian/quiver,quiver,Interactive convnet features visualization for Keras,883,63,JavaScript,jakebian,Jake Bian,User,SF,37.7749295,-122.4194155,San Francisco,United States,106.0
zeit/styled-jsx,styled-jsx,Full CSS support for JSX without compromises,875,22,JavaScript,zeit,ZEIT,Organization,,,,,,108.0
QingWei-Li/docsify,docsify,🃏 A magical documentation site generator.,873,45,JavaScript,QingWei-Li,cinwell.li,User,Shanghai,31.230415999999998,121.473701,Shanghai,China,109.0
facebooknuclide/atom-in-orbit,atom-in-orbit,Putting Atom in the browser,851,33,JavaScript,facebooknuclide,Facebook Nuclide,Organization,"Menlo Park, California",37.4529598,-122.1817252,Menlo Park,United States,110.0
720kb/ndm,ndm,npm desktop manager  https://720kb.github.io/ndm,780,24,JavaScript,720kb,720kb,Organization,,,,,,121.0
guerrerocarlos/CacheP2P,CacheP2P,'More users = More capacity',753,28,JavaScript,guerrerocarlos,Carlos Guerrero,User,,,,,,122.0
dmotz/thing-translator,thing-translator,Point your camera at things to hear how to say them in a different language,749,76,JavaScript,dmotz,Dan Motzenbecker,User,NYC,40.7127837,-74.00594129999999,New York,United States,124.0
andywer/leakage,leakage,🐛 Memory leak testing for node.,733,16,JavaScript,andywer,Andy Wermke,User,"Leipzig, Germany",51.339695500000005,12.373074699999998,Leipzig,Germany,130.5
weui/weui-wxss,weui-wxss,"A UI library by WeChat official design team, includes the most useful widgets/modules.",731,143,JavaScript,weui,WeUI,Organization,Guangzhou China,23.12911,113.264385,Guangzhou,China,133.0
jmurzy/react-native-foldview,react-native-foldview,FoldView implemented in JavaScript ⛱,709,53,JavaScript,jmurzy,Jake Murzy,User,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,141.0
chvin/react-tetris,react-tetris,"Use React, Redux, Immutable to code Tetris.",690,106,JavaScript,chvin,Chvin,User,"China,HangZhou",30.274084999999996,120.15507,Hangzhou,China,151.5
chemzqm/wept,wept,微信小程序 web 端实时运行工具,677,97,JavaScript,chemzqm,Qiming zhao,User,"Beijing, China",39.904211,116.407395,Beijing,China,157.0
samgozman/YoptaScript,YoptaScript,Скриптовый язык программирования для гопников и реальных пацанов,667,63,JavaScript,samgozman,Sam Gozman,User,"Russia, Saint-Peterburg",59.9342802,30.335098600000002,Saint Petersburg,Russia,159.0
dreamapplehappy/effective-javascript,effective-javascript,"To be, or not to be, that is a question! :joy: 万剑归宗的无名和独霸天下的雄霸",618,123,JavaScript,dreamapplehappy,dreamapple,User,Hangzhou,30.274084999999996,120.15507,Hangzhou,China,177.0
kingdido999/zooming,zooming,Image zoom that makes sense.,578,32,JavaScript,kingdido999,Desmond,User,San Francisco,37.7749295,-122.4194155,San Francisco,United States,199.0
ggomaeng/react-native-card-modal,react-native-card-modal,A pure javascript card modal for React Native framework.,572,41,JavaScript,ggomaeng,Sung Woo Park,User,"Los Angeles, CA",34.0522342,-118.24368490000002,Los Angeles,United States,202.5
threepointone/markdown-in-js,markdown-in-js,inline markdown for react/jsx,569,9,JavaScript,threepointone,Sunil Pai,User,"Bangalore, India",12.9715987,77.5945627,Bengaluru,India,205.5
appbaseio/gem,gem,💎  GUI for Data Modeling with Elasticsearch,546,26,JavaScript,appbaseio,appbase.io,Organization,,,,,,214.5
kubek2k/lambdoku,lambdoku,Heroku-like experience when using AWS Lambda,538,14,JavaScript,kubek2k,Jakub Janczak,User,,,,,,217.0
lipeiwei-szu/ReactNativeOne,ReactNativeOne,基于React-Native的高仿「ONE·一个」，兼容Android、iOS双平台,514,151,JavaScript,lipeiwei-szu,lipeiwei,User,shenzhen,22.543096,114.05786499999999,Shenzhen,China,230.5
tannerlinsley/react-form,react-form,A simple and powerful form builder for React - ,504,16,JavaScript,tannerlinsley,Tanner Linsley,User,Utah,39.32098010000001,-111.0937311,,United States,236.5
mmckegg/ferment,ferment,"Peer-to-peer audio publishing and streaming application. Like SoundCloud but decentralized. A mashup of ssb, webtorrent and electron.",504,20,JavaScript,mmckegg,Matt McKegg,User,"Wellington, New Zealand",-41.286460299999995,174.776236,Wellington,New Zealand,236.5
kiqs/chartify,chartify,React.js music chart,494,7,JavaScript,kiqs,Kirill Stepkin,User,,,,,,241.0
monterail/vuelidate,vuelidate,"Simple, lightweight model-based validation for Vue.js",489,18,JavaScript,monterail,Monterail,Organization,"Wrocław, Poland",51.1078852,17.0385376,Wrocław,Poland,244.0
sylvainpolletvillard/postcss-grid-kiss,postcss-grid-kiss,A PostCSS plugin to keep CSS grids stupidly simple,488,20,JavaScript,sylvainpolletvillard,Sylvain Pollet-Villard,User,,,,,,245.0
lzxb/vue2-demo,vue2-demo,从零构建vue2 + vue-router + vuex 开发环境到入门，实现基本的登录退出功能 ,487,160,JavaScript,lzxb,狼族小狈,User,中国,35.86166,104.195397,,China,247.0
JSBros/hedron,hedron,"A no-frills flexbox grid system for React, powered by styled-components.",480,15,JavaScript,JSBros,,Organization,Online,,,,,252.0
diegohaz/arc,arc,A progressive React starter kit based on the Atomic Design methodology,473,28,JavaScript,diegohaz,Haz,User,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965,Rio de Janeiro,Brazil,255.5
fuse-box/fuse-box,fuse-box,A blazing fast js bundler/loader with a comprehensive API,472,16,JavaScript,fuse-box,,Organization,,,,,,257.0
lelandrichardson/redux-pack,redux-pack,Sensible promise handling and middleware for redux,468,17,JavaScript,lelandrichardson,Leland Richardson,User,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,258.0
goessner/mdmath,mdmath,LaTeX Math for Markdown inside of Visual Studio Code.,452,11,JavaScript,goessner,Stefan Goessner,User,Germany,51.165690999999995,10.451526,,Germany,266.5
screeps/screeps,screeps,A standalone server for programming game Screeps,449,35,JavaScript,screeps,,Organization,,,,,,268.0
ggomaeng/react-native-facebook-ui,react-native-facebook-ui,Pure javascript UI prototype of iOS Facebook for React Native framework.,434,40,JavaScript,ggomaeng,Sung Woo Park,User,"Los Angeles, CA",34.0522342,-118.24368490000002,Los Angeles,United States,277.0
nikgraf/webvr-experiments,webvr-experiments,A collection of ReactVR experiments (potentially also A-Frame and WebVR expriments using ReasonML & Elm),430,14,JavaScript,nikgraf,Nik Graf,User,Vienna / San Francisco,37.719601000000004,-122.431207,San Francisco,United States,278.0
jxnblk/repng,repng,React component to PNG converter,413,6,JavaScript,jxnblk,Brent Jackson,User,New York City,40.7127837,-74.00594129999999,New York,United States,289.5
feross/electron-workshop,electron-workshop,Workshop: Build cross-platform desktop apps with Electron,401,30,JavaScript,feross,Feross Aboukhadijeh,User,"Mountain View, CA",37.3860517,-122.08385109999999,Mountain View,United States,295.5
PabloSichert/concurrency-logger,concurrency-logger,"Log HTTP requests/responses separately, visualize their concurrency and report logs/errors in context of a request",350,6,JavaScript,PabloSichert,Pablo Sichert,User,"Copenhagen, Denmark",55.676096799999996,12.568337099999999,Copenhagen,Denmark,324.0
nolanlawson/marky,marky,High-resolution JavaScript timer based on performance.mark() and measure(),348,4,JavaScript,nolanlawson,Nolan Lawson,User,Seattle,47.6062095,-122.33207079999998,Seattle,United States,326.0
jstimpfle/tetris-on-a-plane,tetris-on-a-plane,,336,47,JavaScript,jstimpfle,Jens Stimpfle,User,,,,,,337.5
huangyaoxin/hAdmin,hAdmin,后台模版 html5后台模版 bootstrap后台模版 Free Bootstrap 3 Admin Template,335,128,JavaScript,huangyaoxin,Hyx,User,郑州,34.746611,113.625328,Zhengzhou,China,339.5
mariusandra/pigeon-maps,pigeon-maps,ReactJS Maps without external dependencies,327,8,JavaScript,mariusandra,Marius Andra,User,"Leuven, Belgium",50.879843799999996,4.7005175999999995,Leuven,Belgium,347.0
i-break-codes/scrum-board,scrum-board,JavaScript Scrum App to manage tasks with ease,322,26,JavaScript,i-break-codes,Vaibhav Mehta,User,Mumbai,19.0759837,72.87765590000001,Mumbai,India,350.0
icindy/wxParse,wxParse,wxParse-微信小程序富文本解析自定义组件，支持HTML及markdown解析,313,73,JavaScript,icindy,Di,User,四川成都,30.572815999999996,104.066801,Chengdu,China,361.0
caroso1222/amazon-autocomplete,amazon-autocomplete,🚀  Unlock the full power of the Amazon autocompletion engine right into your search input. JavaScript Plugin.,310,16,JavaScript,caroso1222,Carlos Roso,User,Colombia,4.570868,-74.297333,,Colombia,365.5
ben-eb/postcss-resemble-image,postcss-resemble-image,Provide a gradient fallback for an image that loosely resembles the original.,294,6,JavaScript,ben-eb,Ben Briggs,User,,,,,,390.0
hharnisc/tabbie,tabbie,The missing tab manager for Chrome,292,17,JavaScript,hharnisc,Harrison Harnisch,User,Chicago,41.8781136,-87.62979820000001,Chicago,United States,394.5
sindu12jun/table-dragger,table-dragger,Easily drag and drop sorting table,290,28,JavaScript,sindu12jun,sindu12jun,User,Beijing,39.904211,116.407395,Beijing,China,397.0
bailicangdu/react-pxq,react-pxq,基于 react + react-router + redux + webpack + ES6 + less  的完整项目,290,117,JavaScript,bailicangdu,cangdu,User,shanghai,31.230415999999998,121.473701,Shanghai,China,397.0
sqreen/CTOSecurityChecklist,CTOSecurityChecklist,The SaaS CTO Security Checklist,289,34,JavaScript,sqreen,Sqreen,Organization,,,,,,399.0
weui/weui.js,weui.js,A lightweight javascript library for WeUI.,286,75,JavaScript,weui,WeUI,Organization,Guangzhou China,23.12911,113.264385,Guangzhou,China,402.0
pcbje/ggraph,ggraph,Graph visualization of big messy data,283,14,JavaScript,pcbje,Petter Christian Bjelland,User,"Oslo, Norway",59.913868799999996,10.7522454,Oslo,Norway,405.5
vue-play/vue-play,vue-play,🍭 A minimalistic framework for demonstrating your Vue components,280,10,JavaScript,vue-play,,Organization,,,,,,409.5
wangdicoder/react-native-Gank,react-native-Gank,A cross platform App which shows the contents from gank.io,279,38,JavaScript,wangdicoder,Di Wang,User,"Melbourne, VIC, Australia",-37.813627600000004,144.96305759999998,Melbourne,Australia,411.5
zeit/nextgram,nextgram,A sample Next.js app for showing off it's capabilities,272,26,JavaScript,zeit,ZEIT,Organization,,,,,,426.0
tholman/ascii-morph,ascii-morph,Library to animate between two ascii images -,271,16,JavaScript,tholman,Tim Holman,User,"NYC, for the most part.",,,,,429.5
gajus/babel-plugin-react-css-modules,babel-plugin-react-css-modules,Transforms styleName to className using compile time CSS module resolution.,271,12,JavaScript,gajus,Gajus Kuizinas,User,London,51.5073509,-0.12775830000000002,London,United Kingdom,429.5
wangdicoder/JueJinClient,JueJinClient,a react-native app simulating JueJin App running on both Android and iOS,270,62,JavaScript,wangdicoder,Di Wang,User,"Melbourne, VIC, Australia",-37.813627600000004,144.96305759999998,Melbourne,Australia,432.0
egoist/docute,docute,:scroll: Effortlessly documentation done right.,270,16,JavaScript,egoist,EGOIST,User,"Chengdu, China",30.572815999999996,104.066801,Chengdu,China,432.0
FGRibreau/gron,gron,gron - Make JSON greppable!,265,6,JavaScript,FGRibreau,Francois-Guillaume Ribreau,User,"Nantes, France",47.218371000000005,-1.553621,Nantes,France,444.5
runkitdev/demokit,demokit,DemoKit is a Library and Electron app for building product demos and tutorials using web technologies,254,9,JavaScript,runkitdev,RunKit,Organization,"San Francisco, CA",37.7749295,-122.4194155,San Francisco,United States,462.0
RebeccaHanjw/weapp-wechat-zhihu,weapp-wechat-zhihu,微信中的知乎--微信小程序 demo // Zhihu in Wechat,253,84,JavaScript,RebeccaHanjw,Rebecca Han,User,,,,,,464.5
2muchcoffeecom/ng2-restangular,ng2-restangular,Restangular for Angular 2 and higher versions,251,23,JavaScript,2muchcoffeecom,2muchcoffee,User,Zaporizhzhya,47.8388,35.139567,Zaporizhia,Ukraine,470.5
schmooblidon/meleelight,meleelight,Melee Light Platform Fighter,250,58,JavaScript,schmooblidon,,User,,,,,,472.0
ondras/primitive.js,primitive.js,JS port of primitive.lol,245,30,JavaScript,ondras,Ondřej Žára,User,Prague,50.0755381,14.4378005,Prague,Czechia,479.0
bs-detector/bs-detector,bs-detector,A browser extension that alerts users to unreliable news sources.,236,68,JavaScript,bs-detector,B.S. Detector,Organization,,,,,,496.0
4Catalyzer/css-literal-loader,css-literal-loader,Parse css tagged template literals as CSS files,234,4,JavaScript,4Catalyzer,4Catalyzer,Organization,,,,,,500.5
ageitgey/show-facebook-computer-vision-tags,show-facebook-computer-vision-tags,A very simple Chrome Extension that displays the automated image tags that Facebook has generated for your images,231,17,JavaScript,ageitgey,Adam Geitgey,User,Various places,,,,,510.5
zzarcon/chaosocket,chaosocket,:boom: Mock WebSockets and create chaos :boom:,231,9,JavaScript,zzarcon,Hector Zarco ,User,✈,,,,,510.5
googlecreativelab/aiexperiments-giorgio-cam,aiexperiments-giorgio-cam,Take a picture to make music with the computer. ,230,37,JavaScript,googlecreativelab,Google Creative Lab,Organization,,,,,,512.5
CERT-BDF/TheHive,TheHive,"TheHive: a Scalable, Open Source and Free Incident Response Platform",227,27,JavaScript,CERT-BDF,CERT BDF,Organization,,,,,,517.0
jeffjose/tget,tget,tget is wget for torrents,224,6,JavaScript,jeffjose,Jeffrey Jose,User,"Philadelphia, PA",39.9525839,-75.1652215,Philadelphia,United States,527.5
oopsguy/WechatSmallApps,WechatSmallApps,Wechat Small Apps Demos，微信小程序个人案例合集,220,74,JavaScript,oopsguy,Oopsguy,User,China,35.86166,104.195397,,China,534.5
qieguo2016/Vueuv,Vueuv,参照Vue实现的一个JavaScript MVVM 框架，手把手教你从零开始Make Your Own Vue!,219,25,JavaScript,qieguo2016,茄果,User,,,,,,539.0
wepyjs/wepy,wepy,小程序组件化开发框架,214,30,JavaScript,wepyjs,wepy,Organization,,,,,,551.0
JuneDomingo/movieapp,movieapp,Discover Movies and TV shows -  React Native ,212,49,JavaScript,JuneDomingo,June Domingo,User,"Ilagan City, Isabela Philippines",17.1263233,122.0101024,Ilagan City,Philippines,554.5
